Lat,NCP,Reference
-26.9,26.96 ,Johnson et al (2017)
-37,43.40 ,Johnson et al (2017)
-42,63.78 ,Johnson et al (2017)
-47,70.68 ,Johnson et al (2017)
-51.9,79.56 ,Johnson et al (2017)
-57,73.32 ,Johnson et al (2017)
-61.9,53.92 ,Johnson et al (2017)
-66.9,40.77 ,Johnson et al (2017)
14.5,88.77 ,Huang et al (2018)
-68,70.36 ,Huang et al (2023)
-63,54.25 ,Huang et al (2023)
-58,109.15 ,Huang et al (2023)
-53,89.75 ,Huang et al (2023)
-48,125.59 ,Huang et al (2023)
-43.1,129.53 ,Huang et al (2023)
-43.1,20.38 ,Huang et al (2023)
-38,13.15 ,Huang et al (2023)
30.7,39.45 ,Yang et al (2019)
20.7,65.75 ,Yang et al (2019)
16.8,59.18 ,Yang et al (2019)
-13.3,26.30 ,Yang et al (2019)
-24.3,9.86 ,Yang et al (2019)
-19.3,-16.44 ,Yang et al (2019)
-16,7.89 ,Yang et al (2017)
20.9,77.26 ,Yang et al (2017)
29.1,70.36 ,Yang et al (2017)
20.7,59.18 ,Emerson and Yang (2022)
20.7,32.88 ,Emerson and Yang (2022)
21.6,46.03 ,Emerson and Yang (2022)
21.6,29.59 ,Emerson and Yang (2022)
-23.2,26.30 ,Emerson and Yang (2022)
-23.2,16.44 ,Emerson and Yang (2022)
-31.3,23.01 ,Emerson and Yang (2022)
-31.3,6.58 ,Emerson and Yang (2022)
-23.2,0.00 ,Emerson and Yang (2022)
-23.2,-13.15 ,Emerson and Yang (2022)
