Cruise,Date,Time,Lon,Lat,Depth,INTF_0.2_0.8,BP_t0_filtered,BP_total_filtered,BR_total_filtered,BGE,BR_insitu_filtered
2021-Summer,2021/7/30,15:15,116,18,5,5.962 ,0.145 ,0.071 ,0.476 ,0.129 ,0.977 
2021-Summer,2021/8/3,14:20,113,16,5,28.617 ,0.130 ,0.030 ,0.638 ,0.044 ,2.797 
2021-Summer,2021/8/7,16:31,112,14,5,7.949 ,0.140 ,0.032 ,0.607 ,0.050 ,2.672 
2021-Summer,2021/8/8,12:12,112,12,5,96.184 ,0.310 ,0.087 ,2.910 ,0.029 ,10.368 
2021-Summer,2021/8/9,1:07,112,11,5,37.361 ,0.464 ,0.051 ,0.804 ,0.059 ,7.384 
2021-Summer,2021/8/12,17:12,118,12,5,19.078 ,0.172 ,0.036 ,1.104 ,0.032 ,5.217 
2021-Summer,2021/8/13,10:10,118,14,5,34.976 ,0.221 ,0.045 ,0.692 ,0.061 ,3.382 
2021-Summer,2021/8/14,6:37,116,14,5,38.156 ,0.172 ,0.028 ,0.857 ,0.031 ,5.336 
2021-Summer,2021/8/17,12:06,115,14,5,38.156 ,0.128 ,0.048 ,1.266 ,0.037 ,3.348 
2021-Summer,2021/8/21,17:04,117,18,5,31.001 ,0.170 ,0.029 ,0.848 ,0.033 ,4.994 
2021-Summer,2021/8/22,11:44,118,18,5,27.424 ,0.168 ,0.045 ,1.084 ,0.040 ,4.051 
2023-spring,2023/4/6,12:15,112.59,21.26,3,86.135 ,0.138 ,0.049 ,1.232 ,0.038 ,3.483 
2023-spring,2023/4/15,8:08,123.15,29.74,3,295.716 ,0.891 ,0.100 ,1.745 ,0.054 ,15.609 
2023-spring,2023/4/28,18:35,124,29.83,3,138.943 ,0.973 ,0.290 ,3.995 ,0.068 ,13.426 
