Station,Lon,Lat,Time,BA_mean,BA_sd,BP_mean,BP_sd
T1,116,18,0,6.508,0,0.006,0.001
T1,116,18,4,6.609,0.788,0.012,0.002
T1,116,18,8,7.386,1.026,0.034,0.01
T1,116,18,12,7.498,0.557,0.043,0.009
T1,116,18,16,7.087,0.566,0.054,0.016
T1,116,18,20,8.197,1.175,0.059,0.01
T1,116,18,24,10.186,1.527,0.108,0.032
T2,113,16,0,7.315,1.5,0.005,0.001
T2,113,16,4,7.734,0.214,0.014,0.002
T2,113,16,8,9.815,0.501,0.019,0.005
T2,113,16,12,10.637,0.408,0.03,0.003
T2,113,16,16,9.702,0.919,0.03,0.004
T2,113,16,20,10.167,0.957,0.031,0.007
T2,113,16,24,11.219,0.881,0.033,0.008
T3,118.66,23.88,0,5.916,0,0.005,0.001
T3,118.66,23.88,4,6.005,0.187,0.011,0.001
T3,118.66,23.88,8,6.082,0.075,0.033,0.002
T3,118.66,23.88,12,6.309,0.117,0.104,0.011
T3,118.66,23.88,16,6.913,0.095,,
T3,118.66,23.88,20,9.046,0.144,0.123,0.02
T3,118.66,23.88,24,10.178,0.293,0.119,0.02
