No,Date,Lon,Lat,Depth,GPP,CR,NCP,Reference,Source
1,2000/3/17,-15.5,28.7,0,0.51,1.67,-1.16,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
2,2000/3/17,-15.5,28.7,20,0.32,1.57,-1.25,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
3,2000/3/17,-15.5,28.7,40,1.02,2.57,-1.55,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
4,2000/3/17,-15.5,28.7,60,1.06,1.81,-0.75,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
5,2000/3/17,-15.5,28.7,80,0.36,2.39,-2.03,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
6,1991/3/13,-16.1,27.8,0,1.44,1.44,0,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
7,1991/3/13,-16.1,27.8,30,1.8,0.72,1.08,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
8,1991/3/13,-16.1,27.8,50,0.84,0.48,0.36,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
9,1991/3/13,-16.1,27.8,75,0,0.48,-0.5,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
10,1991/3/11,-15.6,27.5,0,1.68,2.4,-0.72,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
11,1991/3/11,-15.6,27.5,25,2.64,2.64,0,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
12,1991/3/11,-15.6,27.5,50,0.72,2.64,-1.92,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
13,1991/3/11,-15.6,27.5,75,0.48,2.4,-1.92,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
14,1999/8/17,-13.34,27.82,0,8.6,7.33,1.27,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
15,1999/8/17,-13.34,27.82,10,9.37,6.69,2.68,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
16,1999/8/17,-13.34,27.82,15,4.94,7.2,-2.26,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
17,1999/8/17,-13.34,27.82,20,1.23,4.7,-3.47,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
18,1999/8/17,-13.34,27.82,30,0.34,1.56,-1.22,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
19,1999/8/17,-13.34,27.82,40,0.5,1.5,-1,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
20,1999/8/11,-14.11,27.51,0,1.94,2.85,-0.91,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
21,1999/8/11,-14.11,27.51,15,1.71,1.97,-0.26,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
22,1999/8/11,-14.11,27.51,30,2.32,1.8,0.52,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
23,1999/8/11,-14.11,27.51,45,2.54,1.69,0.85,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
24,1999/8/11,-14.11,27.51,67,0,0.75,-0.75,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
25,1999/8/11,-14.11,27.51,90,0.03,0.58,-0.5,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
26,1999/8/22,-14.61,27.67,0,1.76,1.81,-0.05,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
27,1999/8/22,-14.61,27.67,25,0.48,1.66,-1.18,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
28,1999/8/22,-14.61,27.67,32,1.02,1.9,-0.88,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
29,1999/8/22,-14.61,27.67,50,0.84,1.3,-0.46,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
30,1999/8/22,-14.61,27.67,75,0,0.43,-0.4,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
31,1999/8/22,-14.61,27.67,100,0,0.5,-0.5,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
32,1999/8/24,-15.1,27.8,0,1,0.89,0.11,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
33,1999/8/24,-15.1,27.8,20,1.17,0.81,0.36,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
34,1999/8/24,-15.1,27.8,30,1.53,0.23,1.3,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
35,1999/8/24,-15.1,27.8,40,2.77,1.2,1.57,Javier Aristegui Unpublished data,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
36,1992/9/29,-10.43,31,0,8.05,1.87,6.17,Aristegui & Harrison 2002 MEPS,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
37,1992/9/29,-10.43,31,5,5.31,2.33,2.98,Aristegui & Harrison 2003 MEPS,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2020GB006718
