No,Cruise,Date,Time,Lon,Lat,Depth,Temperature,Salinity,Chla,DO,Si,NO3,PO4,NCP,GPP,CR,BA_t0,BA_t1,BP_t0,BP_t1,BR_total_filtered,BA_t0_filtered,BA_t1_filtered,BP_t0_filtered,BP_t1_filtered,BGE,BR_total,BR_insitu,BRbias,BRbias_CR,NCP_corr
1,2018-Summer,2018-07-26,05:36,117.76,23.47,3,27.752,32.966,0.76,133.665,92.975,0.114,,11.73,14.717,2.988,428300,888700,0.639,4.625,1.214,379500,713700,0.667,9.992,0.191254848,8.515672313,2.702091783,5.81358053,0.162136896,12.21446504
2,2018-Summer,2018-07-26,10:40,118.21,23.04,3,28.584,32.999,0.72,136.093,43.743,0.071,,8.264,10.271,2.006,535700,831800,0.573,5.142,6.109,397000,554500,1.118,14.722,0.067154553,28.92391534,7.959556294,20.96435904,0.870902253,10.01102992
3,2018-Summer,2018-07-28,06:12,117.53,22.99,3,29.524,32.481,0.24,138.161,87.718,,,0.226,2.547,2.321,453700,622700,0.573,3.216,6.833,390300,879300,4.192,8.442,0.068936895,20.69347711,7.738949657,12.95452745,0.465120187,1.305543954
4,2018-Summer,2018-07-29,11:01,117.95,21.67,3,30.407,33.689,0.07,135.755,31.732,,,-0.631,0.266,0.897,207800,321500,0.091,5.794,2.615,218300,513000,2.876,8.042,0.138005304,8.575809156,0.568394945,8.00741421,0.743906931,0.036284518
5,2018-Summer,2018-07-31,05:23,118.69,24.52,3,26.757,33.976,2.02,120.98,205.975,0.357,0.423,27.201,29.891,2.691,719300,839500,0.944,1.01,2.428,588800,614200,1.602,6.401,0.106270779,8.213370558,7.938968673,0.274401885,0.008497519,27.22386682
6,2018-Summer,2018-07-31,09:06,119.14,24.56,3,29.206,33.769,0.3,141.727,123.75,0.121,,-0.084,2.397,2.481,521300,929500,1.535,2.941,3.448,650300,860000,3.156,12.471,0.140774224,13.19804592,9.368984834,3.829061082,0.128612827,0.235088424
7,2018-Summer,2018-08-01,08:08,120.44,25.71,3,28.308,33.925,0.34,138.009,88.029,0.429,,1.898,4.352,2.453,500800,657700,0.619,3.04,2.815,454500,759800,3.146,12.573,0.167661208,7.551854934,3.072969105,4.478885829,0.152156741,2.271240486
8,2019-Spring,2019-03-18,13:10,119.7,24.7,3,23.747,34.513,0.451,217.349,2.714,0.979,,,1.158,,773500,980500,0.135,2.46,0.163,843300,963300,0.061,1.793,0.207554672,3.05820293,0.515431034,2.542771895,,
9,2019-Spring,2019-03-18,17:02,119.64,24.77,3,23.394,34.294,0.61,222.261,2.286,0.5,,3.252,6.29,3.038,977000,1283000,0.128,0.269,,873800,857700,0.047,0.497,,,,,,
10,2019-Spring,2019-03-18,18:20,119.61,24.81,3,22.992,34.521,0.674,224.723,2.214,0.55,,3.847,5.419,1.572,999500,1312800,0.111,0.76,,1042400,718800,0.032,0.39,,,,,,
11,2019-Spring,2019-03-18,19:22,119.58,24.83,3,22.603,34.522,0.464,227.183,2.143,0.421,,4.102,4.848,0.747,1212000,1284800,0.566,0.282,0.027,1240500,1150500,0.06,0.124,0.213901177,1.498113092,2.080081741,-0.581968649,-0.064922875,4.053502613
12,2019-Spring,2019-03-18,23:44,119.44,24.96,3,15.008,30.473,1.85,265.783,20,15.25,0.594,13.768,17.028,3.261,1332300,2232500,0.498,3.074,,629600,801300,0.034,1.155,,,,,,
13,2019-Spring,2019-03-19,06:16,119.45,24.55,3,22.659,34.5,0.216,193.101,2.821,0.95,,0.203,0.919,0.716,1533800,2164800,0.285,0.852,5.199,1454000,1921400,1.488,8.075,0.058756725,8.294202513,4.565508575,3.728693939,0.433972758,0.513724495
14,2019-Spring,2019-03-19,08:21,119.36,24.43,3,21.194,34.43,0.35,227.026,1.536,0.814,,,1.47,,604000,1524800,0.23,0.202,,757500,1096500,0.073,1.32,,,,,,
